id;name;main_activity;secondary_activities;genres;region__country;contact_information;website
2155;MY VOX LAB; - ;Technology and Services (Post Production/Studios);"Kids & Teens (Animation, Docs for Kids, Kids Interactive, Live-Action); Docs & Factual (Archive, Arts, Music & Culture, Current Affairs, Educational, youth oriented, Ethnology & Sociology, History & Civilisation, Lifestyle, Nature & Wildlife, Reality / Factual, Science & Knowledge, Social Responsabilities / Green); Drama / Fiction / Scripted Format (Feature Film, Miniseries, Mobisode / Webisode, Series, Short Film, Telenovelas / Soap / Sitcom, TV Movies); Gaming (Console Games, Esport, Online / Mobile Games)";Africa (Morocco);SECTEUR 21 VILLA 3  | AVENUEANNAKHILHAYRIAD | RABAT | Morocco;http://www.myvoxlab.com/
2156;MY WAY PRODUCTIONS FILMGESELLSCHAFT MBH & CO.KG;Content creation / Production / Distribution (Production company/Content creation.); - ;Drama / Fiction / Scripted Format (Series);Europe (Germany);Oberer Landweg 87  | HAMBURG | 21035 | Germany;http://www.mwps.de/
2157;MYCLASS.MONACO;Content creation / Production / Distribution (Production company/Content creation.);Financing & supports (Film Commission / Fundings, Schools / Official Organisation / Association);"Kids & Teens (Animation, Docs for Kids, Kids Interactive); Docs & Factual (Arts, Music & Culture, Educational, youth oriented); Drama / Fiction / Scripted Format (Series, Short Film); BrandedEntertainment; Gaming (Console Games, Online / Mobile Games)";Europe (Monaco);Villa Petite Provence  | 29rueLouisFrolla | MONACO | 98000 | Monaco; - 
2158;MYMEDIABOX;Technology and Services (Technology provider/OS); - ;Kids & Teens (Animation);North America (USA);3005 Breckinridge Blvd,    | Suite250 | DULUTH | GA | 30096 | UnitedStates;http://www.mymediabox.com/
2159;MYTH FACTORY LTD;Content creation / Production / Distribution (Production company/Content creation.); - ;"Docs & Factual (Arts, Music & Culture, History & Civilisation); Drama / Fiction / Scripted Format (Feature Film, Series)";Europe (UK);71-75 Shelton St  | LONDON | WC2H9JQ | UnitedKingdom;http://www.mythfactory.uk/
2160;MyZen TV;Broadcasting platforms (TV Channel);Content creation / production / rights holder (Production company/Content creation, Rights Holder / Distributor);"Docs & Factual (Archive, Arts, Music & Culture, History & Civilisation, Lifestyle, Nature & Wildlife); Non-Scripted Formats (Factual Entertainment / Magazine, TV Game Show); Music";Europe (France);9 rue Archimède  | CS10051 | VILLENEUVED'ASCQCEDEX | Nord-Pas-de-Calais | 59650 | France;http://www.myzen.tv/
2161;MZMEDIA; - ; - ; - ;Asia Pacific (Thailand);The HIVE Bangkok 2nd Floor  | PIMAN49,Sukhumvitsoi49 | BANGKOK | 10100 | Thailand;http://www.mzmedia.asia/
2162;N-TV;Broadcasting platforms (TV Channel); - ;"Docs & Factual (Current Affairs, History & Civilisation, Lifestyle, Nature & Wildlife, Reality / Factual); Non-Scripted Formats (Factual Entertainment / Magazine, Reality Shows / Scripted Reality, TV Game Show); Drama / Fiction / Scripted Format (Feature Film, Miniseries, Series, Telenovelas / Soap / Sitcom, TV Movies)";Europe (Germany);Picassoplatz 1  | COLOGNE | 50679 | Germany;http://www.n-tv.de/
2163;N5 PICTURES;Content creation / Production / Distribution (Production company/Content creation.);Financing & supports (Advertising / Media Agency and Brands);"Kids & Teens (Live-Action); Drama / Fiction / Scripted Format (Feature Film, Miniseries, Mobisode / Webisode, Series, TV Movies)";North America (Canada);7326 Golden Meadow Court  | TORONTO | L5W0B8 | Canada;http://www.n5p.com/
2164;NAGRA; - ; - ; - ;Europe (Switzerland);Route de Genève 22-24  | Cheseaux | Vaud | 1033 | Switzerland;https://dtv.nagra.com
2165;NAGRA FRANCE;Broadcasting platforms (Online Video Platform/MCN);Technology and Services (2nd Screen/Social TV, Content management, Technology Provider/OS);"Drama / Fiction / Scripted Format (Feature Film, Miniseries, Mobisode / Webisode, Series, Short Film, Telenovelas / Soap / Sitcom, TV Movies); Music";Europe (France);86 Rue Henri Farman  | ISSYLESMOULINEAUX | 92130 | France;http://www.nagra.com/
2166;NAIM MEDIA GROUP;Content creation / Production / Distribution (Production company/Content creation.); - ;Docs & Factual (Arts, Music & Culture);North America (USA);10th Floor  | 1875ConnecticutAve | WASHINGTON | DC | 20009 | UnitedStates;http://www.naimmediagroup.com/
2167;NAKED ENTERTAINMENT;Content creation / Production / Distribution (Production company/Content creation.);Content creation / production / rights holder (Rights Holder / Distributor);"Docs & Factual (Reality / Factual); Non-Scripted Formats (Factual Entertainment / Magazine, Reality Shows / Scripted Reality)";Europe (UK);Ground Floor Samuel House  | 6StAlban'sStreet | LONDON | London | SW1Y4SQ | UnitedKingdom;http://www.nakedentertainment.tv/
2168;NANJING WINHALL MEDIA & PRODUCTION CO., LTD.;Content creation / Production / Distribution (Production company/Content creation.);Content creation / production / rights holder (Rights Holder / Distributor);Non-Scripted Formats (Factual Entertainment / Magazine, Reality Shows / Scripted Reality, TV Game Show);Asia Pacific (China);3/Floor, Building 56  | TaiChengRd.,XuanwuDistrict,XiJiaDaTangCulturalCreativeIndustrialPark | NANJING | 210000 | China; - 
2169;NANJING YUELONGTAI PICTURES LTD.;Content creation / Production / Distribution (Sales Agent);Content creation / production / rights holder (Rights Holder / Distributor);Kids & Teens (Animation, Docs for Kids, Kids Interactive, Live-Action);Asia Pacific (China);Room 303, Building 6,   | No.18JiaLinJiangDongStreet,JianYeDistrict,Nanjing, | NANJING | 210000 | China; - 
2170;NARENDRA HIRAWAT & CO;Content creation / Production / Distribution (Production company/Content creation.);Broadcasting platforms (Cable/IP/Satellite/Mobile/OTT Operator);Docs & Factual (Current Affairs, Educational, youth oriented, Social Responsabilities / Green);Asia Pacific (India);1502/A Naman Midtown, Next to Indiabulls finance centre  | Elphinstone | MUMBAI | Maharashtra | 400013;http://www.nhstudioz.tv/
2171;NARRATIV NATION;Content creation / Production / Distribution (Production company/Content creation.); - ;"Kids & Teens (Live-Action); Drama / Fiction / Scripted Format (Feature Film, Miniseries, Mobisode / Webisode, Series, Short Film)";Europe (Belgium);Rue de Heembeek 99/5  | BRUXELLES | 1120 | Belgium;http://www.narrativnation.com/
2172;NATIONAL ASSOCIATION OF ELECTRONIC MASS MEDIA OF UZBEKISTAN;Financing & supports (Schools / Official Organisation / Association);"Content creation / production / rights holder (Production company/Content creation); Broadcasting platforms (TV Channel)";"Docs & Factual (Arts, Music & Culture, Current Affairs, Educational, youth oriented, History & Civilisation, Lifestyle, Science & Knowledge, Social Responsabilities / Green); Drama / Fiction / Scripted Format (Feature Film, Short Film); Music; Sports; News";Europe (Uzbekistan);4th Entrance, 2nd Floor,   | WestSide,PoytakhtBusinessComplexHamidOlimjonSquare | TASHKENT | Tashkent | 700000 | Uzbekistan;http://www.naesmi.uz/
2173;National Broadcasting Commission;Financing & supports (Schools / Official Organisation / Association);Content creation / production / rights holder (Production company/Content creation); - ;Africa (Nigeria);Plot 20, Ibrahim Taiwo Street  | AsokoroDistrict | ABUJA | ABUJAF.C.T | 900001 | Nigeria;http://www.nbc.gov.ng/
2174;NATIONAL FILM BOARD OF CANADA;Content creation / Production / Distribution (Rights Holder / Distributor);Content creation / production / rights holder (Production company/Content creation);"Kids & Teens (Animation, Docs for Kids); Docs & Factual (Archive, Arts, Music & Culture, Current Affairs, Educational, youth oriented, Ethnology & Sociology, History & Civilisation, Lifestyle, Nature & Wildlife, Science & Knowledge, Social Responsabilities / Green)";North America (Canada);3155 Cote-de-Liesse Road  | MONTREAL | QC | H4N2N2 | Canada;http://www.nfb.ca/
2175;NATIONAL FILM DEVELOPMENT CORPORATION MALAYSIA (FINAS);Financing & supports (Schools / Official Organisation / Association);Financing & supports (Film Commission / Fundings); - ;Asia Pacific (Malaysia);Kompleks Studio Merdeka  | JalanHuluKelang | AMPANG | Selangor | 68000 | Malaysia;http://www.finas.gov.my/
2176;NATIONAL GEOGRAPHIC;Broadcasting platforms (TV Channel);Broadcasting platforms (Cable/IP/Satellite/Mobile/OTT Operator);"Docs & Factual (Archive, Arts, Music & Culture, Current Affairs, History & Civilisation, Nature & Wildlife, Science & Knowledge); Non-Scripted Formats (Factual Entertainment / Magazine); Drama / Fiction / Scripted Format (Feature Film, Miniseries, Series)";Europe (UK);10 Hammersmith Grove  | LONDON | W67AP | UnitedKingdom;http://ficcontentsales.com/
2177;NATIONAL GEOGRAPHIC CHANNEL;Broadcasting platforms (TV Channel); - ;"Docs & Factual (Current Affairs, History & Civilisation, Lifestyle, Nature & Wildlife, Reality / Factual, Science & Knowledge); Drama / Fiction / Scripted Format (Feature Film, Series)";North America (USA);1145 17th Street NW  | 3rdFloor | WASHINGTON | DC | 20036 | UnitedStates;http://www.natgeotv.com/
2178;NATIONAL SATELLITE COMPANY (TRICOLOR TV) ;Broadcasting platforms (Cable/IP/Satellite/Mobile/OTT Operator);"Content creation / production / rights holder (Rights Holder / Distributor); Broadcasting platforms (Online Video Platform/MCN, TV Channel)";"Kids & Teens (Animation); Drama / Fiction / Scripted Format (Feature Film, Miniseries, Series, Telenovelas / Soap / Sitcom, TV Movies); Erotic/Adults";Europe (Russia);bld.1/10-N 139/1   | Moskovskyprospect | SAINT-PETERSBURG | 196105 | RussianFederation;http://www.tricolor.tv/
2179;NATIONAL SPORTS CHANNEL LLC.;Broadcasting platforms (TV Channel);"Content creation / production / rights holder (Rights Holder / Distributor); Broadcasting platforms (Cable/IP/Satellite/Mobile/OTT Operator)";Sports;Europe (Russia);125/1, Room 57  | VarshavskoyeShosse | MOSCOW | 117587 | RussianFederation;http://matchtv.ru/
2180;NATIONALE POSTCODE LOTERIJ;Content creation / Production / Distribution (Production company/Content creation.); - ;BrandedEntertainment;Europe (Netherlands);Van Eeghenstraat 70  | AMSTERDAM | 1071GK | Netherlands;http://www.postcodeloterij.nl/
2181;NATIVA CONTENIDOS;Content creation / Production / Distribution (Production company/Content creation.);Broadcasting platforms (Cable/IP/Satellite/Mobile/OTT Operator, Online Video Platform/MCN, TV Channel);"Docs & Factual (Arts, Music & Culture, Educational, youth oriented, Ethnology & Sociology, History & Civilisation, Lifestyle, Reality / Factual, Science & Knowledge, Social Responsabilities / Green); Non-Scripted Formats (Factual Entertainment / Magazine, Reality Shows / Scripted Reality, TV Game Show); Drama / Fiction / Scripted Format (Miniseries, Series, Short Film)";South & Central America (Argentina);Virrey Loreto 2865  | BUENOSAIRES(CABA) | 1426 | Argentina;http://www.nativa.tv/
2182;NATIVSPEAKERS;Technology and Services (Post Production/Studios); - ;"Kids & Teens (Animation); Docs & Factual (History & Civilisation, Lifestyle, Nature & Wildlife, Reality / Factual); Drama / Fiction / Scripted Format (Feature Film, Miniseries, Mobisode / Webisode, Series, Short Film, Telenovelas / Soap / Sitcom, TV Movies); Music; Gaming (Console Games)";Europe (UK);27 Old Gloucester Street   | LONDON | WC1N3AX | UnitedKingdom;http://www.nativspeakers.com/
